Date,Close,High,Low,Open,Volume
2000-07-28,1e-05,1e-05,1e-05,1e-05,0.0
2000-07-31,1e-05,1e-05,1e-05,1e-05,0.0
2000-08-02,1e-05,1e-05,1e-05,1e-05,0.0
2000-08-04,2.8933,2.8928,2.8928,2.8928,1500.0
2000-08-07,2.9476,2.947,2.947,2.947,3000.0
2000-08-09,3.0018,3.0013,3.0013,3.0013,2100.0
2000-08-11,3.0561,3.0555,3.0555,3.0555,2300.0
2000-08-14,3.1103,3.1098,3.1098,3.1098,1500.0
2000-08-16,3.1646,3.1639999999999997,3.1639999999999997,3.1639999999999997,7600.0
2000-08-18,3.2188,3.2182,3.2182,3.2182,1400.0
2000-08-21,3.2731,3.2725,3.2725,3.2725,1000.0
2000-08-23,3.3273,3.3267,3.3267,3.3267,2000.0
2000-08-25,3.3816,3.3810000000000002,3.3810000000000002,3.3810000000000002,2100.0
2000-08-28,3.4358,3.4352,3.4352,3.4352,1500.0
2000-08-30,3.4901,3.4894,3.4894,3.4894,1600.0
2000-09-01,3.3816,3.3810000000000002,3.3810000000000002,3.3810000000000002,1000.0
2000-09-06,3.4358,3.4352,3.4352,3.4352,1500.0
2000-09-08,3.4901,3.4894,3.4894,3.4894,1500.0
2000-09-11,3.5443,3.5437,3.5437,3.5437,4200.0
2000-09-13,3.5986,3.5979,3.5979,3.5979,6000.0
2000-09-15,3.6528,3.6522,3.6522,3.6522,5300.0
2000-09-18,3.7251,3.7245,3.7245,3.7245,3000.0
2000-09-20,3.7975,3.7968,3.7968,3.7968,6000.0
2000-09-22,3.8698,3.8691,3.8691,3.8691,9800.0
2000-09-25,3.9421,3.9414,3.9414,3.9414,8000.0
2000-09-27,4.0145,4.0138,4.0138,4.0138,5000.0
2000-09-29,4.0868,4.0861,4.0861,4.0861,8000.0
2000-10-02,4.1591,4.1584,4.1584,4.1584,5000.0
2000-10-04,4.2315,4.2307,4.2307,4.2307,5000.0
2000-10-06,4.3038,4.303,4.303,4.303,6000.0
2000-10-09,4.3761,4.3754,4.3754,4.3754,3000.0
2000-10-11,4.4485,4.4477,4.4477,4.4477,6000.0
2000-10-13,4.5208,4.52,4.52,4.52,3000.0
2000-10-16,4.6112,4.6104,4.6104,4.6104,3000.0
2000-10-18,4.7016,4.7008,4.7008,4.7008,3000.0
2000-10-20,4.792,4.7912,4.7912,4.7912,2000.0
2000-10-23,4.8825,4.8816,4.8816,4.8816,2000.0
2000-10-25,4.9729,4.9719999999999995,4.9719999999999995,4.9719999999999995,4000.0
2000-10-27,5.0633,5.0624,5.0624,5.0624,2600.0
2000-10-30,5.1537,5.1528,5.1528,5.1528,4900.0
