Date,Close,High,Low,Open,Volume
2000-07-28,1.6511,1.6496,1.6496,1.6496,1000.0
2000-07-31,1.6821,1.6805,1.6805,1.6805,300.0
2000-08-02,1.713,1.7115,1.7115,1.7115,100.0
2000-08-04,1.744,1.7424,1.7424,1.7424,200.0
2000-08-07,1.7749,1.7733,1.7733,1.7733,2800.0
2000-08-09,1.8059,1.8043,1.8043,1.8043,500.0
2000-08-11,1.8369,1.8352,1.8352,1.8352,11000.0
2000-08-14,1.8678,1.8661,1.8661,1.8661,7800.0
2000-08-16,1.8988,1.8969999999999998,1.8969999999999998,1.8969999999999998,7100.0
2000-08-18,1.9297,1.9280000000000002,1.9280000000000002,1.9280000000000002,3100.0
2000-08-21,1.9607,1.9589,1.9589,1.9589,10100.0
2000-08-23,1.9917,1.9898,1.9898,1.9898,42200.0
2000-08-25,1.9607,1.9589,1.9589,1.9589,18900.0
2000-08-28,1.9297,1.9280000000000002,1.9280000000000002,1.9280000000000002,36500.0
2000-08-30,1.8988,1.8969999999999998,1.8969999999999998,1.8969999999999998,9700.0
2000-09-01,1.8678,1.8661,1.8661,1.8661,25500.0
2000-09-06,1.8369,1.8352,1.8352,1.8352,2800.0
2000-09-08,1.8059,1.8043,1.8043,1.8043,35900.0
2000-09-11,1.8369,1.8352,1.8352,1.8352,26500.0
2000-09-13,1.8678,1.8661,1.8661,1.8661,1400.0
2000-09-15,1.8988,1.8969999999999998,1.8969999999999998,1.8969999999999998,35200.0
2000-09-18,1.8678,1.8661,1.8661,1.8661,12600.0
2000-09-20,1.8988,1.8969999999999998,1.8969999999999998,1.8969999999999998,8800.0
2000-09-22,1.8678,1.8661,1.8661,1.8661,7100.0
2000-09-25,1.8678,1.8661,1.8661,1.8661,7300.0
2000-09-27,1.8678,1.8661,1.8661,1.8661,18700.0
2000-09-29,1.8781,1.8764,1.8764,1.8764,18500.0
2000-10-02,1.8781,1.8764,1.8764,1.8764,19200.0
2000-10-04,1.8781,1.8764,1.8764,1.8764,17100.0
2000-10-06,1.8781,1.8764,1.8764,1.8764,16200.0
2000-10-09,1.9091,1.9074,1.9074,1.9074,9400.0
2000-10-11,1.9401,1.9383,1.9383,1.9383,12600.0
2000-10-13,1.9709999999999999,1.9692,1.9692,1.9692,35400.0
2000-10-16,2.002,2.0001,2.0001,2.0001,7400.0
2000-10-18,2.0329,2.0311,2.0311,2.0311,12100.0
2000-10-20,2.0639,2.062,2.062,2.062,19900.0
2000-10-23,2.1052,2.1032,2.1032,2.1032,18700.0
2000-10-25,2.1464,2.1445,2.1445,2.1445,13500.0
2000-10-27,2.1877,2.1857,2.1857,2.1857,43000.0
2000-10-30,2.1877,2.1857,2.1857,2.1857,42200.0
2000-11-01,2.229,2.227,2.227,2.227,50800.0
2000-11-03,2.2703,2.2682,2.2682,2.2682,13900.0
2000-11-06,2.3116,2.3094,2.3094,2.3094,3100.0
2000-11-08,2.3528,2.3507,2.3507,2.3507,12700.0
2000-11-10,2.3941,2.3919,2.3919,2.3919,4700.0
2000-11-13,2.4354,2.4332,2.4332,2.4332,800.0
2000-11-15,2.4767,2.4744,2.4744,2.4744,200.0
2000-11-17,2.5180000000000002,2.5156,2.5156,2.5156,8300.0
2000-11-20,2.5592,2.5569,2.5569,2.5569,7200.0
2000-11-22,2.6005,2.5981,2.5981,2.5981,59700.0
2000-11-24,2.6521,2.6497,2.6497,2.6497,56700.0
2000-11-27,2.7037,2.7012,2.7012,2.7012,48500.0
2000-11-29,2.7553,2.7528,2.7528,2.7528,23900.0
2000-12-01,2.8069,2.8043,2.8043,2.8043,5900.0
2000-12-04,2.8585,2.8559,2.8559,2.8559,5000.0
2000-12-06,2.9101,2.9074,2.9074,2.9074,5000.0
2000-12-08,2.9617,2.9589999999999996,2.9589999999999996,2.9589999999999996,1200.0
2000-12-11,3.0133,3.0105,3.0105,3.0105,4500.0
2000-12-13,3.0649,3.0621,3.0621,3.0621,19100.0
2000-12-15,3.1165,3.1136,3.1136,3.1136,10500.0
2000-12-18,3.1784,3.1755,3.1755,3.1755,1500.0
2000-12-20,3.2403,3.2373,3.2373,3.2373,400.0
2000-12-22,3.3022,3.2992,3.2992,3.2992,7300.0
2000-12-25,3.3641,3.3611,3.3611,3.3611,700.0
2000-12-27,3.3229,3.3198,3.3198,3.3198,5400.0
2000-12-29,3.3848,3.3817,3.3817,3.3817,7800.0
2001-01-03,3.4467,3.4435,3.4435,3.4435,7500.0
2001-01-05,3.5086,3.5054,3.5054,3.5054,6800.0
2001-01-08,3.5705,3.5673,3.5673,3.5673,16200.0
2001-01-10,3.6325,3.6291,3.6291,3.6291,8500.0
2001-01-12,3.7047,3.7013,3.7013,3.7013,26500.0
2001-01-15,3.7769,3.7735,3.7735,3.7735,18600.0
2001-01-17,3.8492,3.8456,3.8456,3.8456,10500.0
2001-01-19,3.9214,3.9178,3.9178,3.9178,200.0
2001-01-29,3.9936,3.99,3.99,3.99,500.0
2001-01-31,4.0659,4.0621,4.0621,4.0621,400.0
2001-02-02,4.1381,4.1343,4.1343,4.1343,200.0
2001-02-05,4.2207,4.2168,4.2168,4.2168,600.0
2001-02-07,4.3032,4.2993,4.2993,4.2993,600.0
2001-02-09,4.2207,4.2168,4.2168,4.2168,145800.0
2001-02-12,4.1381,4.1343,4.1343,4.1343,52900.0
2001-02-14,4.0556,4.0518,4.0518,4.0518,33700.0
2001-02-16,3.9833,3.9797,3.9797,3.9797,7400.0
2001-02-19,3.9111,3.9075,3.9075,3.9075,10700.0
2001-02-21,3.9833,3.9797,3.9797,3.9797,102200.0
2001-02-23,4.0556,4.0518,4.0518,4.0518,28400.0
2001-02-26,4.1278,4.124,4.124,4.124,11100.0
2001-02-28,4.0452,4.0415,4.0415,4.0415,125000.0
2001-03-02,4.1175,4.1137,4.1137,4.1137,98300.0
2001-03-05,4.0452,4.0415,4.0415,4.0415,31800.0
2001-03-07,3.9730000000000003,3.9694,3.9694,3.9694,8900.0
2001-03-09,4.0452,4.0415,4.0415,4.0415,21900.0
2001-03-12,4.1175,4.1137,4.1137,4.1137,37900.0
2001-03-14,4.1484,4.1446,4.1446,4.1446,41700.0
2001-03-16,4.1484,4.1446,4.1446,4.1446,39400.0
2001-03-19,4.1484,4.1446,4.1446,4.1446,98100.0
2001-03-21,4.1484,4.1446,4.1446,4.1446,36100.0
2001-03-23,4.0659,4.0621,4.0621,4.0621,17900.0
2001-03-26,4.004,4.0003,4.0003,4.0003,20500.0
2001-03-28,4.0762,4.0725,4.0725,4.0725,13400.0
2001-03-30,4.1484,4.1446,4.1446,4.1446,19100.0
2001-04-02,4.231,4.2271,4.2271,4.2271,17600.0
2001-04-04,4.3135,4.3096,4.3096,4.3096,7200.0
2001-04-06,4.3961,4.3921,4.3921,4.3921,16600.0
2001-04-09,4.4786,4.4745,4.4745,4.4745,21600.0
2001-04-11,4.5612,4.5569999999999995,4.5569999999999995,4.5569999999999995,36700.0
2001-04-13,4.6438,4.6395,4.6395,4.6395,39100.0
2001-04-16,4.7366,4.7323,4.7323,4.7323,30900.0
2001-04-18,4.8295,4.8251,4.8251,4.8251,32900.0
2001-04-20,4.9224,4.9179,4.9179,4.9179,28400.0
2001-04-23,4.8295,4.8251,4.8251,4.8251,156300.0
2001-04-25,4.9224,4.9179,4.9179,4.9179,56400.0
2001-04-27,5.0153,5.0107,5.0107,5.0107,20400.0
2001-05-02,5.1081,5.1035,5.1035,5.1035,11500.0
2001-05-04,5.1597,5.155,5.155,5.155,16800.0
2001-05-07,5.2629,5.2581,5.2581,5.2581,22400.0
2001-05-09,5.3661,5.3612,5.3612,5.3612,80200.0
2001-05-11,5.4693,5.4643,5.4643,5.4643,3600.0
2001-05-14,5.5725,5.5674,5.5674,5.5674,3200.0
2001-05-16,5.6757,5.6705,5.6705,5.6705,400.0
2001-05-18,5.7789,5.7736,5.7736,5.7736,1100.0
2001-05-21,5.8821,5.8767,5.8767,5.8767,100.0
2001-05-23,5.9853,5.9798,5.9798,5.9798,16800.0
2001-05-25,6.0885,6.0829,6.0829,6.0829,13000.0
